A batterij zwak	Geen kracht meer
Ik word para	Ik word gek
Ill	Tof
Illest	Gaafst
In de flow zijn	In de beginfase van een relatie zijn
Inter	Boeiend
Inter	Cool
Ippa geven	Fellatio
Ippie	Politie
Jamma	Pispaal
Janken	Huilen
Jeh grabbing	Snappie?
Jiggy	Cool
Jilla	Gevangenis
Jirp	Tip
Jo	Hoi
Joepen	Vrijen
Joinen	Mee gaan
Joinen	Ondersteunen
Joint	Dik persoon
Joke	Grapje
Jonko	Joint
Joppe	Werken
Ju e lauw?	Ben je gek?
Juten	Politie
Juwelen	Geld
Kaaskop	Nederlander
Kabel	Vriend
Kaboela	Surinaamse muziek
Kaḥbe	Slet
Kaise?	Hoe gaat het?
Kampung	Rosse buurt
Kanen	Eten
Kantelen	Stelen
Kaolo	Kontgat
Kapot	Lelijk
Kappie	Kapsones
Kardash	Maatje
Kardash	Makker
Karsdash	Vriend
Karta	Kaart
Kas gaan	Weggaan
Kassis	Hasj
Kawed!	Donder op!
Kech	Hoer
Kech	Kreng
Keh!	Kom!
Keihard	Geweldig
Keten	Stelen
Keti	Ketting
Kiefen	Blowen
Kieren	Eten
Kieren	Vrijen
Kiet	Gepakt
Kiet	Gestolen
Kifesh?	Hoe?
Kifesh?	Hoezo?
Kifesh?	Waarom?
Kikiriekie	Lelijk
Kill	Gap
Kill	Jongen
Kill	Kerel
Kill	Man
Kino	Film
Kisengmooi	Goed voor je
Kittie	Aansteker
Klari	Vrijen
Klef	Cool
Kloppen	Masturberen (man)
Knopje	Leuk
Knul	Gozer
Koeli	Hulpje
Koenis	Gierigaard
Kon ta bei?	Hoe gaat het?
Koolio	Toffe gast
Kop	Duizend euro
Korroe	Lelijk
Koullo	Vriend
Kraktisupu	Krachtsoep
Kranka	Gek
Krasbal	SOA
Krasi	Geil
Krentebol	Dik persoon
Krossies	Kleren
Kush	Joint
Kuta	Hond
Kwaka	Leuk
Kwarktassen	Borsten
Kwekku	Praten
La Rouge	Bende (een)
Laf ya	Ik hou van je
Laffoe	Lachen
Lagi	Laag
Lakie	Joint
Lakoenza	Geld
Lala	Cocaïne (rauw)
Lala	Wit (rauw)
Lappie	Laptop
Laterz	Tot later!
LaterZzz	Tot ziens
Latra	Tot ziens
Lauw	Goed
Lauw	Mooi
Lauw	Relaxed
Lauw	Te erg
Lebben	Bellen
Legualeza	Iemand die veel weet en uitlegt
Leḥnash	Politie
Leḥnash	Slang
Leipe frea	Idioot
Lekka lek	Meisje (mooi)
Lekker doen	Iemand die interessant loopt te doen
Lemma	Haarlem
Libieloos	Levenloos
Lidorro	Leiderdorp
Lijn 11	Lopen
Likecind	Vriendelijk
Liptenays	Lippen
Lit	Aan
Lit	Gezellig
Liti	Licht
Litta	Aansteker
Litti	Aansteker
Loco	Nadenken
Loco	Trein
Loent	Cool
Loesoe	Weg
Loesoe	Weggaan
Loos	Dom
Loos	Lomp
Lotto	Vijf euro
Lyrics	Songteksten
Ma crib	Huis
Ma pampang	Mijn bil
Ma shit	Mijn zaakjes
Macfees	Mafkees
Maddish	Helemaal maf
Mang	Of niet
Marijuana	Wiet
Mastah	Baas (de)
Masten	Masturberen (man)
Master	Meesterlijk
Master swa	Mister cool
Masterdam	Amsterdam
Masterlijk	Cool
Matie	Vriend
